Slime ID, Wave Number, Fitness Pool, Min Path Distance To Sheep, Total Path Distance,Sheep Distance Fitness,Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Tower Attraction Gene, Tower Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Time Alive After Increased Alignment Strength,
0, 0, 0, 138.0306, 143.1968, 359.633, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.8844221,2.290824,-0.3419469,0.4027277,-1.050179,2.131275,0.5226536,0.3538752,0,
1, 0, 0, 138.3559, 143.5449, 358.7936, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.149126,2.787747,0.794578,0.6896415,0.6718807,2.65596,1.834412,0.4350314,0,
2, 0, 0, 137.5907, 142.8576, 360.7746, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.511227,2.129776,1.728275,1.056597,0.7393757,2.680193,-1.284748,0.2698285,0,
3, 0, 0, 137.3167, 142.5882, 361.4893, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.3689383,2.375045,-2.900624,0.115402,1.152816,2.835171,1.352805,0.4030893,0,
4, 0, 0, 134.6188, 139.6073, 368.6804, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.2425111,2.506448,-1.047503,0.2864393,2.822242,3.581228,-0.5501146,0.3004545,0,
5, 0, 0, 134.2442, 139.3814, 369.7016, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.1400243,2.481637,-2.950481,0.1125927,-0.6932836,2.226064,-3.738115,0.1958984,0,
6, 0, 0, 138.9295, 144.149, 357.3228, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.3126323,2.52414,-0.6107897,0.3538658,1.019718,2.78404,0.922862,0.3766995,0,
7, 0, 0, 134.66, 139.8429, 368.5685, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.273835,2.239864,-2.243448,0.1595775,3.858073,4.144273,-0.5815846,0.2990482,0,
8, 0, 0, 137.0885, 142.3439, 362.0866, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.4685932,2.565687,0.7888113,0.6877925,0.09972066,2.462145,0.09015355,0.3310204,0,
9, 0, 0, 133.9085, 138.9462, 370.6217, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.263277,2.146805,0.3386452,0.5568876,2.787427,3.563638,-1.367458,0.2666578,0,
10, 0, 0, 134.4273, 139.4952, 369.2017, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,4.308783,5.409733,-1.165239,0.2705069,0.8590471,2.72389,3.245985,0.5437006,0,
